acceptedTaxonID,taxonRank,scientificName,taxon_group,phylum,subphylum,class,order,family,subfamily,tribe,genus,species,taxa.notes,tolerance,FFG,FFG2
AGASP3,genus,Agabus sp.,Dytiscidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Dytiscidae,Agabinae,Agabini,Agabus,NA,NA,8,prd,NA
PLASP23,genus,Platambus sp.,Dytiscidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Dytiscidae,Agabinae,Agabini,Platambus,NA,NA,5,prd,NA
AGASP1,subfamily,Agabinae sp.,Dytiscidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Dytiscidae,Agabinae,NA,NA,NA,NA,5,prd,NA
RHASP6,genus,Rhantus sp.,Dytiscidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Dytiscidae,Colymbetinae,Colymbetini,Rhantus,NA,NA,5,prd,NA
COPSP4,genus,Copelatus sp.,Dytiscidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Dytiscidae,Copelatinae,Copelatini,Copelatus,NA,NA,5,prd,NA
LIOSP,genus,Liodessus sp.,Dytiscidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Bidessini,Liodessus,NA,NA,5,prd,NA
BORGRI,species,Boreonectes griseostriatus,Dytiscidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Hydroporini,Boreonectes,NA,NA,5,prd,NA
BORSTR,species,Boreonectes striatellus,Dytiscidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Hydroporini,Boreonectes,NA,NA,5,prd,NA
NEOSP39,genus,Neoporus sp.,Dytiscidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Hydroporini,Neoporus,NA,NA,5,prd,NA
ORESP2,genus,Oreodytes sp.,Dytiscidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Hydroporini,Oreodytes,NA,NA,5,prd,NA
HYDSP28,genus,Hydrovatus sp.,Dytiscidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Hydrovatini,Hydrovatus,NA,NA,5,prd,NA
HYGSP1,genus,Hygrotus sp.,Dytiscidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,Hygrotini,Hygrotus,NA,NA,5,prd,NA
HYDSP18,subfamily,Hydroporinae sp.,Dytiscidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Dytiscidae,Hydroporinae,NA,NA,NA,NA,5,prd,NA
LACSP1,genus,Laccophilus sp.,Dytiscidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Dytiscidae,Laccophilinae,Laccophilini,Laccophilus,NA,NA,5,prd,NA
DYTSP,family,Dytiscidae sp.,Dytiscidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Dytiscidae,NA,NA,NA,NA,NA,5,prd,NA
ANCSP2,genus,Ancyronyx sp.,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Ancyronychini,Ancyronyx,NA,NA,5,cg,scr
ANCVAR1,species,Ancyronyx variegata,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Ancyronychini,Ancyronyx,variegata,NA,5,cg,scr
AMPDIS,species,Ampumixis dispar,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Elmini,Ampumixis,NA,NA,4,cg,NA
BRYSP4,genus,Bryelmis sp.,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Elmini,Bryelmis,NA,NA,5,scr,NA
CLEADD,species,Cleptelmis addenda,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Elmini,Cleptelmis,NA,NA,4,cg,NA
DUBSP,genus,Dubiraphia sp.,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Elmini,Dubiraphia,NA,NA,6,cg,NA
HETCOR,species,Heterlimnius corpulentus,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Elmini,Heterlimnius,NA,NA,4,cg,NA
HEXFER,species,Hexacylloepus ferrugineus,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Elmini,Hexacylloepus,NA,NA,5,cg,NA
HEXSP4,genus,Hexacylloepus sp.,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Elmini,Hexacylloepus,NA,NA,5,cg,NA
MICPUS,species,Microcylloepus pusillus,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Elmini,Microcylloepus,NA,NA,4,cg,NA
MICSP2,genus,Microcylloepus sp.,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Elmini,Microcylloepus,NA,NA,3,scr,NA
NARSP,genus,Narpus sp.,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Elmini,Narpus,NA,NA,4,cg,NA
NEOCAE,species,Neoelmis caesa,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Elmini,Neoelmis,NA,NA,2,cg,scr
NEOSP27,genus,Neoelmis sp.,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Elmini,Neoelmis,NA,NA,2,cg,scr
OPTOVA,species,Optioservus ovalis,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Elmini,Optioservus,NA,NA,4,scr,NA
OPTSP,genus,Optioservus sp.,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Elmini,Optioservus,NA,NA,4,scr,cg
OPTTRI,species,Optioservus trivittatus,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Elmini,Optioservus,trivittatus,NA,4,scr,cg
OULLAT,species,Oulimnius latiusculus,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Elmini,Oulimnius,latiusculus,NA,4,scr,NA
OULSP,genus,Oulimnius sp.,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Elmini,Oulimnius,NA,NA,4,scr,NA
PROSP19,genus,Promoresia sp.,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Elmini,Promoresia,NA,NA,2,scr,NA
PROTAR,species,Promoresia tardella,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Elmini,Promoresia,NA,NA,2,scr,NA
STEDEC,species,Stenelmis decorata,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Elmini,Stenelmis,decorata,NA,5,scr,cg
STESP6,genus,Stenelmis sp.,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Elmini,Stenelmis,NA,NA,5,scr,cg
MACGLA,species,Macronychus glabratus,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Macronychini,Macronychus,glabratus,NA,5,cg,NA
ZAIPAR,species,Zaitzevia parvula,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Macronychini,Zaitzevia,NA,NA,4,scr,NA
ZAIPOS,species,Zaitzevia posthonia,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Macronychini,Zaitzevia,NA,NA,4,scr,NA
ZAISP,genus,Zaitzevia sp.,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Elminae,Macronychini,Zaitzevia,NA,NA,4,scr,NA
PHASP11,genus,Phanocerus sp.,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,Larainae,NA,Phanocerus,NA,NA,5,cg,scr
ELMSP,family,Elmidae sp.,Elmidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Elmidae,NA,NA,NA,NA,NA,5,scr,cg
DINSP,genus,Dineutus sp.,Gyrinidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Gyrinidae,Gyrininae,Enhydrini,Dineutus,NA,NA,4,prd,NA
GYRSP2,genus,Gyrinus sp.,Gyrinidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Gyrinidae,Gyrininae,Gyrinini,Gyrinus,NA,NA,4,prd,NA
GYRSP3,genus,Gyretes sp.,Gyrinidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Gyrinidae,Gyrininae,Orectochilini,Gyretes,NA,NA,4,prd,NA
GYRSP,family,Gyrinidae sp.,Gyrinidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Gyrinidae,NA,NA,NA,NA,NA,4,prd,NA
PELSP3,genus,Peltodytes sp.,Haliplidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Haliplidae,NA,NA,Peltodytes,NA,NA,5,sh,prc
HYDSP31,genus,Hydraena sp.,Hydraenidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Hydraenidae,Hydraeninae,Hydraenini,Hydraena,NA,NA,5,prd,NA
HYDSP30,genus,Hydrochus sp.,Hydrochidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Hydrochidae,NA,NA,Hydrochus,NA,NA,5,sh,NA
BERSP4,genus,Berosus sp.,Hydrophilidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Hydrophilidae,Hydrophilinae,Berosini,Berosus,NA,NA,5,cg,NA
CHASP14,genus,Chaetarthria sp.,Hydrophilidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Hydrophilidae,Hydrophilinae,Chaetarthriini,Chaetarthria,NA,NA,5,cg,prd
CYMSP2,genus,Cymbiodyta sp.,Hydrophilidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Hydrophilidae,Hydrophilinae,Hydrophilini,Cymbiodyta,NA,NA,5,cg,prd
TROSP4,genus,Tropisternus sp.,Hydrophilidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Hydrophilidae,Hydrophilinae,Hydrophilini,Tropisternus,NA,NA,5,cg,prd
LACSP2,genus,Laccobius sp.,Hydrophilidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Hydrophilidae,Hydrophilinae,Laccobiini,Laccobius,NA,NA,5,prd,NA
AMESP4,genus,Ametor sp.,Hydrophilidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Hydrophilidae,Hydrophilinae,Sperchopsini,Ametor,NA,NA,5,cg,prd
HYDSP3,family,Hydrophilidae sp.,Hydrophilidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Hydrophilidae,NA,NA,NA,NA,NA,5,prd,cg
LUTSP1,genus,Lutrochus sp.,Lutrochidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Lutrochidae,NA,NA,Lutrochus,NA,NA,2,sh,cg
EUBEDW,species,Eubrianax edwardsii,Psephenidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Psephenidae,Eubrianacinae,NA,Eubrianax,NA,NA,4,scr,NA
ECTSP2,genus,Ectopria sp.,Psephenidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Psephenidae,Eubriinae,NA,Ectopria,NA,NA,5,scr,NA
PSESP2,family,Psephenidae sp.,Psephenidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Psephenidae,NA,NA,NA,NA,NA,4,scr,NA
PSEHER,species,Psephenus herricki,Psephenidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Psephenidae,Psepheninae,NA,Psephenus,NA,NA,4,scr,NA
PSESP12,genus,Psephenus sp.,Psephenidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Psephenidae,Psepheninae,NA,Psephenus,NA,NA,4,scr,NA
ANCBIC,species,Anchytarsus bicolor,Ptilodactylidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Ptilodactylidae,Anchytarsinae,NA,Anchytarsus,NA,NA,3,sh,NA
SCISP2,family,Scirtidae sp.,Scirtidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Scirtidae,NA,NA,NA,NA,NA,5,scr,NA
ATHSP2,genus,Atherix sp.,Athericidae,Arthropoda,Hexapoda,Insecta,Diptera,Athericidae,NA,NA,Atherix,NA,NA,4,prd,NA
AGASP5,genus,Agathon sp.,Blephariceridae,Arthropoda,Hexapoda,Insecta,Diptera,Blephariceridae,Blepharicerinae,Blepharicerini,Agathon,NA,NA,0,scr,NA
BLEMIC,species,Blepharicera macquart,Blephariceridae,Arthropoda,Hexapoda,Insecta,Diptera,Blephariceridae,Blepharicerinae,Blepharicerini,Blepharicera,macquart,NA,0,scr,NA
BLESP1,genus,Blepharicera sp.,Blephariceridae,Arthropoda,Hexapoda,Insecta,Diptera,Blephariceridae,Blepharicerinae,Blepharicerini,Blepharicera,NA,NA,0,scr,NA
BLESP,family,Blephariceridae sp.,Blephariceridae,Arthropoda,Hexapoda,Insecta,Diptera,Blephariceridae,NA,NA,NA,NA,NA,0,scr,NA
PALSP13,genus,Paltostoma sp.,Blephariceridae,Arthropoda,Hexapoda,Insecta,Diptera,Blephariceridae,NA,NA,Paltostoma,NA,NA,0,scr,NA
STISP4,genus,Stilobezzia sp.,Ceratopogonidae,Arthropoda,Hexapoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae,Ceratopogonini,Stilobezzia,NA,NA,6,prd,NA
CERSP10,subfamily,Ceratopogoninae sp.,Ceratopogonidae,Arthropoda,Hexapoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae,NA,NA,NA,NA,6,prd,NA
BEZSP1,speciesGroup,Bezzia/Palpomyia sp.,Ceratopogonidae,Arthropoda,Hexapoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae,Palpomyiini,Bezzia/Palpomyia,NA,NA,6,prd,NA
PROSP27,genus,Probezzia sp.,Ceratopogonidae,Arthropoda,Hexapoda,Insecta,Diptera,Ceratopogonidae,Ceratopogoninae,Sphaeromiini,Probezzia,NA,NA,7,prd,NA
DASSP2,genus,Dasyhelea sp.,Ceratopogonidae,Arthropoda,Hexapoda,Insecta,Diptera,Ceratopogonidae,Dasyheleinae,NA,Dasyhelea,NA,NA,6,cg,scr
ATRSP1,genus,Atrichopogon sp.,Ceratopogonidae,Arthropoda,Hexapoda,Insecta,Diptera,Ceratopogonidae,Forcipomyiinae,NA,Atrichopogon,NA,NA,6,prd,NA
FORSP5,genus,Forcipomyia sp.,Ceratopogonidae,Arthropoda,Hexapoda,Insecta,Diptera,Ceratopogonidae,Forcipomyiinae,NA,Forcipomyia,NA,NA,6,scr,NA
FORSP3,subfamily,Forcipomyiinae sp.,Ceratopogonidae,Arthropoda,Hexapoda,Insecta,Diptera,Ceratopogonidae,Forcipomyiinae,NA,NA,NA,NA,6,scr,NA
CULSP3,genus,Culicoides sp.,Ceratopogonidae,Arthropoda,Hexapoda,Insecta,Diptera,Ceratopogonidae,NA,NA,Culicoides,NA,NA,10,prd,cg
CERSP2,family,Ceratopogonidae sp.,Ceratopogonidae,Arthropoda,Hexapoda,Insecta,Diptera,Ceratopogonidae,NA,NA,NA,NA,NA,10,prd,cg
EUCSP5,genus,Eucorethra sp.,Chaoboridae,Arthropoda,Hexapoda,Insecta,Diptera,Chaoboridae,NA,NA,Eucorethra,NA,NA,8,prd,NA
APESP,genus,Apedilum sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Apedilum,NA,NA,6,cg,NA
CHISP8,genus,Chironomus sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Chironomus,NA,NA,10,cg,NA
CLASP5,genus,Cladopelma sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Cladopelma,NA,NA,9,cg,NA
CRYSP2,genus,Cryptochironomus sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Cryptochironomus,NA,NA,8,prd,NA
CRYSP3,genus,Cryptotendipes sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Cryptotendipes,NA,NA,6,cg,NA
CYPSP5,genus,Cyphomella sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Cyphomella,NA,NA,8,cg,NA
DEMSP1,genus,Demicryptochironomus sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Demicryptochironomus,NA,NA,8,cg,NA
DICFUM,species,Dicrotendipes fumidus,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Dicrotendipes,NA,NA,8,cg,NA
DICMOD,species,Dicrotendipes modestus,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Dicrotendipes,NA,NA,8,cg,NA
DICNEO,species,Dicrotendipes neomodestus,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Dicrotendipes,NA,NA,8,cg,NA
DICSP7,genus,Dicrotendipes sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Dicrotendipes,NA,NA,8,cg,NA
EINSP,genus,Einfeldia sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Einfeldia,NA,NA,9,cg,NA
ENDSP,genus,Endochironomus sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Endochironomus,NA,NA,10,sh,NA
GLYSP3,genus,Glyptotendipes sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Glyptotendipes,NA,NA,10,sh,NA
GOESP2,genus,Goeldichironomus sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Goeldichironomus,NA,NA,8,cg,NA
KLOSP,genus,Kloosia sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Kloosia,NA,NA,6,cg,NA
LAUAGR,species,Lauterborniella agrayloides,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Lauterborniella,agrayloides,NA,8,cg,NA
LAUSP1,genus,Lauterborniella sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Lauterborniella,NA,NA,8,cg,NA
MICPED,speciesGroup,Microtendipes pedellus gr.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Microtendipes,NA,NA,6,cf,NA
MICRYD,speciesGroup,Microtendipes rydalensis gr.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Microtendipes,NA,NA,4,cf,NA
MICSP5,genus,Microtendipes sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Microtendipes,NA,NA,5,cf,cg
CHISP6,tribe,Chironomini sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,NA,NA,NA,6,cg,NA
NILSP1,genus,Nilothauma sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Nilothauma,NA,NA,6,cg,NA
PAGSP5,genus,Pagastiella sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Pagastiella,NA,NA,7,cg,NA
PARSP30,genus,Parachironomus sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Parachironomus,NA,NA,10,prd,cg
PARSP31,genus,Paracladopelma sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Paracladopelma,NA,NA,7,cg,NA
PARSP24,genus,Paracricotopus sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Paracricotopus,NA,NA,4,cg,NA
PARNIG,species,Paralauterborniella nigrohalteralis,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Paralauterborniella,NA,NA,8,cg,NA
PARSP32,genus,Paralauterborniella sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Paralauterborniella,NA,NA,8,cg,NA
PARSP33,genus,Paratendipes sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Paratendipes,NA,NA,6,cg,NA
PHASP9,genus,Phaenopsectra sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Phaenopsectra,NA,NA,7,scr,cg
POLAVI,species,Polypedilum aviceps,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,NA,NA,4,sh,NA
POLBEC,species,Polypedilum beckae,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,NA,NA,6,sh,NA
POLCON1,species,Polypedilum convictum,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,NA,NA,6,sh,NA
POLEPL,species,Polypedilum epleri,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,NA,NA,6,sh,NA
POLFAL,speciesGroup,Polypedilum fallax gr.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,NA,NA,6,sh,NA
POLFLA1,species,Polypedilum flavum,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,NA,NA,6,sh,NA
POLHAL,speciesGroup,Polypedilum halterale gr.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,NA,NA,6,sh,NA
POLILL,speciesGroup,Polypedilum illinoense gr.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,NA,NA,7,sh,NA
POLLAE,species,Polypedilum laetum,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,NA,NA,6,sh,NA
POLSCA,speciesGroup,Polypedilum scalaenum gr.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,NA,NA,6,sh,NA
POLSP13,genus,Polypedilum sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,NA,NA,6,sh,om
POLTRI2,species,Polypedilum tritum,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,NA,NA,7,sh,NA
ROBDEM,species,Robackia demeijerei,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Robackia,NA,NA,6,cg,NA
ROBSP,genus,Robackia sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Robackia,NA,NA,6,cg,NA
SAESP,genus,Saetheria sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Saetheria,NA,NA,4,cg,NA
SAETYL,species,Saetheria tylus,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Saetheria,NA,NA,4,cg,NA
SERSP6,genus,Sergentia sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Sergentia,NA,NA,5,cg,NA
STEPER,species,Stelechomyia perpulchra,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Stelechomyia,NA,NA,7,cg,NA
STESP8,genus,Stenochironomus sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Stenochironomus,NA,NA,5,cg,NA
STISP2,genus,Stictochironomus sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Stictochironomus,NA,NA,9,cg,sh
TRIJUC,species,Tribelos jucundum,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Tribelos,NA,NA,7,cg,NA
TRISP18,genus,Tribelos sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Tribelos,NA,NA,7,cg,NA
XENSP,genus,Xenochironomus sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Xenochironomus,NA,NA,4,prd,NA
XESSP,genus,Xestochironomus sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Xestochironomus,NA,NA,7,cg,NA
PSESP18,genus,Pseudochironomus sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Pseudochironomini,Pseudochironomus,NA,NA,5,cg,NA
CLASP6,genus,Cladotanytarsus sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Cladotanytarsus,NA,NA,5,cf,NA
CONSP6,genus,Constempellina sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Constempellina,NA,NA,4,cg,NA
MICSP6,genus,Micropsectra sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Micropsectra,NA,NA,7,cf,NA
MICSP40,speciesGroup,Micropsectra/Tanytarsus sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Micropsectra/Tanytarsus,NA,NA,6,cf,NA
TANSP8,tribe,Tanytarsini sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,NA,NA,NA,6,cf,NA
TANSPP8,tribe,Tanytarsini spp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,NA,NA,NA,6,cf,NA
NEOSP40,genus,Neostempellina sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Neostempellina,NA,NA,2,cg,NA
PARSP34,genus,Paratanytarsus sp.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Paratanytarsus,NA,NA,6,cf,NA
RHEEXI,speciesGroup,Rheotanytarsus exiguus gr.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Rheotanytarsus,NA,NA,6,cf,NA
RHEPEL1,species,Rheotanytarsus pellucidus,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Rheotanytarsus,NA,NA,4,cf,NA
RHEPEL,speciesGroup,Rheotanytarsus pellucidus gr.,Chironomidae,Arthropoda,Hexapoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Rheotanytarsus,NA,NA,4,cf,NA
